tipo_cancer,año,casos_hombre_raza_blanca,casos_mujer_raza_blanca,casos_hombre_raza_negra,casos_mujer_raza_negra,muertes_hombre_raza_blanca,muertes_mujer_raza_blanca,muertes_hombre_raza_negra,muertes_mujer_raza_negra
Salivary Gland,1994,1.54,0.9,,,0.41,0.17,0.27,0.11
Salivary Gland,1995,1.61,1.09,,,0.42,0.18,0.27,0.15
Salivary Gland,1996,1.89,1.04,1.81,,0.38,0.15,0.35,0.16
Salivary Gland,1997,1.63,1.13,,,0.37,0.18,0.41,0.12
Salivary Gland,1998,1.61,1.07,,,0.42,0.16,0.26,0.19
Salivary Gland,1999,1.52,0.98,,,0.36,0.16,0.24,0.17
Salivary Gland,2000,1.96,1.08,,,0.39,0.16,0.24,0.11
Salivary Gland,2001,1.78,1.04,,,0.38,0.16,0.23,0.16
Salivary Gland,2002,1.66,1.04,,,0.41,0.16,0.23,0.16
Salivary Gland,2003,1.53,0.87,1.33,1.32,0.37,0.15,0.25,0.17
Salivary Gland,2004,1.64,1.15,,,0.39,0.14,0.29,0.1
Salivary Gland,2005,1.79,1.13,,1.25,0.39,0.14,0.17,0.1
Salivary Gland,2006,1.79,1.01,,1.13,0.37,0.14,0.28,0.14
Salivary Gland,2007,1.92,0.91,,1.48,0.38,0.15,0.25,0.08
Salivary Gland,2008,1.75,1.0,,,0.36,0.14,0.22,0.1
Salivary Gland,2009,1.78,1.13,1.01,1.44,0.38,0.15,0.25,0.19
Salivary Gland,2010,1.5,1.07,,,0.4,0.15,0.28,0.13
Salivary Gland,2011,1.88,1.08,,0.89,0.39,0.14,0.32,0.12
Salivary Gland,2012,1.8,1.2,1.16,,0.41,0.15,0.32,0.12
Salivary Gland,2013,1.86,0.97,1.22,1.39,0.41,0.14,0.29,0.14
Salivary Gland,2014,1.49,0.98,1.52,0.82,0.44,0.15,0.31,0.15
Salivary Gland,2015,1.73,1.05,1.57,1.21,0.45,0.14,0.24,0.15
Salivary Gland,2016,1.69,1.07,1.75,1.06,0.42,0.18,0.24,0.17
Floor of Mouth,1975,2.63,0.78,,,0.39,0.13,0.96,0.16
Floor of Mouth,1976,2.34,0.85,2.86,,0.41,0.11,0.69,0.22
Floor of Mouth,1977,2.15,0.78,5.57,,0.44,0.11,0.8,0.12
Floor of Mouth,1978,2.17,0.89,4.39,,0.35,0.13,0.76,0.21
Floor of Mouth,1979,2.53,0.95,3.84,,0.35,0.11,0.77,0.19
Floor of Mouth,1980,2.19,0.89,3.19,,0.35,0.11,1.01,0.19
Floor of Mouth,1981,2.39,0.9,5.25,,0.39,0.11,0.85,0.17
Floor of Mouth,1982,1.87,1.08,3.16,,0.3,0.1,0.75,0.13
Floor of Mouth,1983,2.28,0.87,3.42,,0.28,0.11,0.68,0.12
Floor of Mouth,1984,2.15,0.7,4.08,,0.28,0.1,0.7,0.11
Floor of Mouth,1985,2.14,0.75,2.68,,0.28,0.09,0.54,0.1
Floor of Mouth,1986,1.95,0.77,3.98,,0.24,0.08,0.68,0.1
Floor of Mouth,1987,2.06,0.95,4.14,,0.23,0.09,0.41,0.11
Floor of Mouth,1988,1.95,0.67,3.42,1.69,0.22,0.09,0.62,0.1
Floor of Mouth,1989,1.6,0.79,3.16,,0.19,0.07,0.42,0.12
Floor of Mouth,1990,1.78,0.65,3.41,,0.19,0.08,0.53,0.1
Floor of Mouth,1991,1.85,0.66,2.71,,0.18,0.07,0.41,0.09
Floor of Mouth,1992,1.83,0.62,3.31,,0.16,0.07,0.36,0.11
Floor of Mouth,1993,1.6,0.69,3.86,,0.16,0.07,0.32,0.07
Floor of Mouth,1994,1.44,0.57,2.33,,0.14,0.06,0.36,0.07
Floor of Mouth,1995,1.34,0.6,1.64,,0.12,0.05,0.31,
Floor of Mouth,1996,1.63,0.55,2.49,,0.13,0.05,0.3,
Floor of Mouth,1997,1.38,0.7,2.34,,0.12,0.05,0.23,0.08
Floor of Mouth,1998,1.46,0.7,2.55,,0.1,0.05,0.19,
Floor of Mouth,1999,1.09,0.5,1.75,,0.08,0.04,0.23,
Floor of Mouth,2000,1.0,0.49,1.99,,0.07,0.03,0.15,
Floor of Mouth,2001,1.27,0.42,,,0.06,0.03,0.12,
Floor of Mouth,2002,1.28,0.42,1.98,,0.08,0.02,0.15,
Floor of Mouth,2003,1.12,0.37,,,0.06,0.03,0.16,
Floor of Mouth,2004,0.98,0.4,,,0.06,0.02,0.14,
Floor of Mouth,2005,1.18,0.44,1.4,,0.06,0.03,0.11,
Floor of Mouth,2006,0.73,0.4,,,0.05,0.02,0.07,
Floor of Mouth,2007,0.83,0.35,,,0.04,0.02,0.09,
Floor of Mouth,2008,0.99,0.41,,,0.03,0.03,,
Floor of Mouth,2009,0.9,0.45,,,0.05,0.02,0.07,
Floor of Mouth,2010,0.9,0.39,,,0.04,0.01,,
Floor of Mouth,2011,0.95,0.37,,,0.03,0.01,,
Floor of Mouth,2012,0.78,0.36,1.06,,0.04,0.01,,
Floor of Mouth,2013,0.74,0.31,,,0.03,0.02,,
Floor of Mouth,2014,0.8,0.31,,,0.03,0.01,0.1,
Floor of Mouth,2015,0.67,0.29,,,0.03,0.01,,
Floor of Mouth,2016,0.65,0.3,,,0.04,0.01,,
Gum and Other Mouth,1975,2.87,1.67,,,1.08,0.47,1.28,0.41
Gum and Other Mouth,1976,2.54,1.69,3.2,,1.02,0.45,1.6,0.49
Gum and Other Mouth,1977,2.81,1.59,4.15,,1.08,0.45,1.85,0.45
Gum and Other Mouth,1978,2.58,1.73,5.09,,1.07,0.43,1.61,0.57
Gum and Other Mouth,1979,2.92,1.87,5.62,3.18,0.98,0.54,1.67,0.57
Gum and Other Mouth,1980,2.94,1.45,4.25,,1.07,0.52,2.11,0.51
Gum and Other Mouth,1981,2.8,1.81,5.4,,1.0,0.44,1.86,0.58
Gum and Other Mouth,1982,3.07,1.69,4.64,2.36,1.03,0.47,1.8,0.62
Gum and Other Mouth,1983,2.93,1.67,3.15,2.62,0.89,0.46,1.86,0.57
Gum and Other Mouth,1984,3.01,1.65,4.39,,0.87,0.43,1.68,0.52
Gum and Other Mouth,1985,2.71,2.03,4.16,1.68,0.9,0.45,1.69,0.58
Gum and Other Mouth,1986,2.53,1.87,4.84,,0.9,0.46,1.97,0.6
Gum and Other Mouth,1987,2.71,1.85,3.97,1.97,0.86,0.42,1.41,0.4
Gum and Other Mouth,1988,2.5,1.89,3.28,1.93,0.78,0.38,1.48,0.5
Gum and Other Mouth,1989,2.54,1.53,4.54,,0.76,0.42,1.42,0.48
Gum and Other Mouth,1990,2.72,1.8,4.35,1.82,0.8,0.41,1.57,0.45
Gum and Other Mouth,1991,2.64,1.7,3.45,1.9,0.72,0.42,1.28,0.48
Gum and Other Mouth,1992,2.26,1.61,3.94,1.8,0.75,0.42,1.31,0.43
Gum and Other Mouth,1993,2.38,1.57,2.97,,0.73,0.41,1.42,0.48
Gum and Other Mouth,1994,2.34,1.74,4.2,1.66,0.67,0.39,1.42,0.47
Gum and Other Mouth,1995,2.47,1.74,4.58,1.46,0.69,0.4,1.33,0.44
Gum and Other Mouth,1996,2.07,1.47,3.66,2.0,0.69,0.39,1.22,0.34
Gum and Other Mouth,1997,1.98,1.54,2.98,,0.65,0.36,1.02,0.53
Gum and Other Mouth,1998,1.97,1.48,3.92,,0.62,0.39,1.1,0.36
Gum and Other Mouth,1999,2.05,1.52,2.85,1.21,0.54,0.34,0.9,0.31
Gum and Other Mouth,2000,2.03,1.52,2.61,1.66,0.52,0.33,0.93,0.3
Gum and Other Mouth,2001,1.91,1.63,2.72,1.64,0.52,0.32,0.81,0.3
Gum and Other Mouth,2002,1.95,1.54,2.4,,0.5,0.3,0.77,0.23
Gum and Other Mouth,2003,1.77,1.43,2.92,1.6,0.49,0.31,0.84,0.27
Gum and Other Mouth,2004,2.0,1.24,2.24,1.56,0.46,0.32,0.82,0.24
Gum and Other Mouth,2005,1.84,1.37,1.38,,0.44,0.28,0.63,0.28
Gum and Other Mouth,2006,1.99,1.3,2.47,1.92,0.45,0.27,0.5,0.26
Gum and Other Mouth,2007,1.88,1.29,,1.07,0.44,0.27,0.6,0.22
Gum and Other Mouth,2008,1.85,1.55,1.53,1.54,0.44,0.29,0.62,0.21
Gum and Other Mouth,2009,1.9,1.29,1.38,1.42,0.4,0.26,0.57,0.19
Gum and Other Mouth,2010,1.82,1.41,1.67,,0.45,0.3,0.44,0.16
Gum and Other Mouth,2011,1.92,1.32,1.36,0.93,0.47,0.28,0.51,0.19
Gum and Other Mouth,2012,1.81,1.49,1.47,0.92,0.47,0.27,0.49,0.21
Gum and Other Mouth,2013,1.94,1.44,1.62,,0.42,0.27,0.51,0.19
Gum and Other Mouth,2014,1.92,1.43,2.08,,0.5,0.26,0.53,0.17
Gum and Other Mouth,2015,1.92,1.34,1.68,0.84,0.48,0.28,0.45,0.23
Gum and Other Mouth,2016,1.94,1.48,1.53,1.02,0.45,0.29,0.48,0.19
Nasopharynx,1975,0.67,0.28,,,0.43,0.18,0.62,0.13
Nasopharynx,1976,0.77,0.32,,,0.44,0.16,0.65,0.21
Nasopharynx,1977,0.77,0.28,,,0.4,0.18,0.55,0.24
Nasopharynx,1978,0.85,0.3,,,0.5,0.18,0.66,0.21
Nasopharynx,1979,0.89,0.31,,,0.49,0.19,0.61,0.17
Nasopharynx,1980,0.55,0.33,,,0.37,0.16,0.63,0.24
Nasopharynx,1981,0.83,0.28,,,0.42,0.18,0.46,0.15
Nasopharynx,1982,0.77,0.24,,,0.43,0.17,0.43,0.27
Nasopharynx,1983,0.77,0.23,,,0.43,0.17,0.82,0.21
Nasopharynx,1984,0.62,0.36,,,0.44,0.18,0.62,0.17
Nasopharynx,1985,0.76,0.35,,,0.4,0.16,0.55,0.16
Nasopharynx,1986,0.83,0.24,,,0.38,0.17,0.57,0.24
Nasopharynx,1987,0.73,0.29,,,0.37,0.19,0.62,0.16
Nasopharynx,1988,0.53,0.27,,,0.4,0.16,0.63,0.16
Nasopharynx,1989,0.66,0.35,,,0.35,0.15,0.69,0.19
Nasopharynx,1990,0.77,0.31,,,0.32,0.15,0.65,0.17
Nasopharynx,1991,0.6,0.27,,,0.35,0.17,0.55,0.2
Nasopharynx,1992,0.64,0.17,,,0.35,0.15,0.67,0.2
Nasopharynx,1993,0.65,0.29,,,0.31,0.16,0.59,0.12
Nasopharynx,1994,0.53,0.23,,,0.32,0.15,0.49,0.15
Nasopharynx,1995,0.58,0.34,,,0.3,0.14,0.67,0.19
Nasopharynx,1996,0.6,0.31,,,0.33,0.14,0.45,0.14
Nasopharynx,1997,0.7,0.21,,,0.31,0.13,0.53,0.17
Nasopharynx,1998,0.69,0.3,,,0.31,0.13,0.57,0.24
Nasopharynx,1999,0.56,0.22,,,0.26,0.12,0.52,0.23
Nasopharynx,2000,0.53,0.25,,,0.26,0.11,0.54,0.19
Nasopharynx,2001,0.45,0.19,,,0.24,0.1,0.47,0.16
Nasopharynx,2002,0.64,0.23,,,0.23,0.12,0.4,0.24
Nasopharynx,2003,0.56,0.2,1.6,,0.24,0.1,0.46,0.13
Nasopharynx,2004,0.53,0.25,,,0.25,0.1,0.59,0.19
Nasopharynx,2005,0.61,0.31,,,0.22,0.09,0.59,0.14
Nasopharynx,2006,0.5,0.18,,,0.23,0.11,0.39,0.12
Nasopharynx,2007,0.72,0.29,,,0.23,0.11,0.5,0.15
Nasopharynx,2008,0.48,0.26,,,0.23,0.09,0.43,0.18
Nasopharynx,2009,0.5,0.19,,,0.22,0.09,0.42,0.14
Nasopharynx,2010,0.66,0.22,,,0.23,0.1,0.37,0.15
Nasopharynx,2011,0.54,0.22,1.3,,0.21,0.07,0.4,0.11
Nasopharynx,2012,0.47,0.16,,,0.2,0.09,0.42,0.14
Nasopharynx,2013,0.47,0.13,1.11,,0.21,0.07,0.32,0.15
Nasopharynx,2014,0.46,0.16,1.05,,0.21,0.08,0.4,0.1
Nasopharynx,2015,0.51,0.17,1.28,,0.2,0.09,0.38,0.13
Nasopharynx,2016,0.47,0.17,1.09,,0.21,0.09,0.45,0.12
Tonsil,1975,1.72,0.74,,,0.59,0.16,1.25,0.29
Tonsil,1976,1.78,0.71,4.73,,0.55,0.18,1.03,0.28
Tonsil,1977,1.8,0.64,3.11,,0.58,0.19,1.12,0.25
Tonsil,1978,1.88,0.85,3.07,,0.53,0.17,1.23,0.2
Tonsil,1979,1.81,0.7,4.19,,0.49,0.14,1.28,0.4
Tonsil,1980,1.69,0.81,3.6,,0.51,0.16,1.1,0.25
Tonsil,1981,1.78,0.7,2.85,,0.42,0.17,1.21,0.31
Tonsil,1982,1.61,0.71,2.96,,0.47,0.15,1.11,0.22
Tonsil,1983,1.94,0.64,3.97,,0.44,0.14,1.38,0.35
Tonsil,1984,1.66,0.78,5.0,,0.42,0.13,1.08,0.24
Tonsil,1985,1.78,0.74,3.85,,0.39,0.12,0.99,0.23
Tonsil,1986,1.46,0.57,5.21,,0.37,0.13,1.09,0.29
Tonsil,1987,1.8,0.63,5.68,,0.32,0.13,1.06,0.17
Tonsil,1988,1.56,0.66,4.02,,0.37,0.11,1.1,0.28
Tonsil,1989,1.74,0.67,3.63,,0.33,0.14,0.89,0.23
Tonsil,1990,1.85,0.84,4.37,,0.36,0.12,0.99,0.23
Tonsil,1991,1.79,0.73,2.47,,0.35,0.12,0.93,0.21
Tonsil,1992,1.83,0.7,3.8,,0.3,0.11,0.98,0.17
Tonsil,1993,2.14,0.65,3.41,,0.32,0.1,0.79,0.16
Tonsil,1994,1.82,0.54,4.3,,0.35,0.1,0.97,0.18
Tonsil,1995,1.83,0.57,3.98,,0.31,0.11,0.85,0.21
Tonsil,1996,1.89,0.53,3.91,,0.31,0.09,0.87,0.17
Tonsil,1997,2.04,0.65,3.03,,0.3,0.1,0.63,0.16
Tonsil,1998,2.11,0.51,3.67,1.34,0.31,0.1,0.76,0.19
Tonsil,1999,2.07,0.52,3.2,,0.29,0.09,0.66,0.16
Tonsil,2000,2.23,0.44,3.94,,0.28,0.08,0.58,0.09
Tonsil,2001,2.17,0.65,3.35,,0.33,0.09,0.71,0.14
Tonsil,2002,2.47,0.62,2.76,,0.35,0.1,0.6,0.1
Tonsil,2003,2.37,0.59,2.23,,0.34,0.08,0.54,0.1
Tonsil,2004,2.73,0.61,3.29,,0.31,0.08,0.54,0.07
Tonsil,2005,2.73,0.59,2.56,1.03,0.33,0.09,0.53,0.16
Tonsil,2006,3.09,0.6,3.03,,0.33,0.09,0.52,0.13
Tonsil,2007,2.97,0.68,2.83,,0.35,0.08,0.55,0.16
Tonsil,2008,3.28,0.59,3.32,,0.38,0.08,0.52,0.09
Tonsil,2009,3.36,0.54,3.26,,0.36,0.09,0.5,0.12
Tonsil,2010,3.26,0.75,3.19,1.13,0.4,0.08,0.5,0.1
Tonsil,2011,3.46,0.76,2.18,,0.4,0.1,0.49,0.08
Tonsil,2012,3.47,0.68,3.37,,0.42,0.09,0.5,0.12
Tonsil,2013,3.62,0.74,3.48,,0.39,0.09,0.38,0.11
Tonsil,2014,4.01,0.73,3.59,,0.43,0.09,0.42,0.1
Tonsil,2015,3.8,0.74,2.84,0.68,0.44,0.1,0.34,0.12
Tonsil,2016,3.83,0.61,2.64,,0.47,0.11,0.52,0.1
Oropharynx,1975,0.51,,,,0.25,0.09,0.47,0.12
Oropharynx,1976,0.53,0.22,,,0.25,0.07,0.46,0.13
Oropharynx,1977,0.48,,,,0.29,0.08,0.55,
Oropharynx,1978,0.46,,,,0.28,0.08,0.58,0.13
Oropharynx,1979,0.57,0.18,,,0.26,0.1,0.81,0.2
Oropharynx,1980,0.44,0.22,,,0.3,0.09,0.78,
Oropharynx,1981,0.49,0.21,,,0.25,0.09,0.84,0.15
Oropharynx,1982,0.31,0.24,,,0.32,0.1,0.74,0.16
Oropharynx,1983,0.56,0.25,,,0.32,0.12,0.99,0.24
Oropharynx,1984,0.59,0.24,,,0.32,0.12,0.85,0.23
Oropharynx,1985,0.43,0.21,,,0.31,0.09,1.01,0.17
Oropharynx,1986,0.43,,,,0.28,0.12,0.89,0.19
Oropharynx,1987,0.58,0.22,,,0.28,0.1,0.99,0.19
Oropharynx,1988,0.6,0.18,,,0.33,0.13,0.89,0.16
Oropharynx,1989,0.54,,,,0.31,0.12,1.05,0.16
Oropharynx,1990,0.46,0.17,,,0.31,0.1,0.66,0.13
Oropharynx,1991,0.48,,,,0.32,0.11,0.9,0.16
Oropharynx,1992,0.49,0.22,,,0.31,0.11,0.81,0.21
Oropharynx,1993,0.44,,,,0.27,0.09,0.96,0.15
Oropharynx,1994,0.59,,,,0.32,0.11,0.83,0.23
Oropharynx,1995,0.38,0.15,,,0.28,0.12,0.89,0.26
Oropharynx,1996,0.53,0.18,,,0.27,0.1,0.81,0.18
Oropharynx,1997,0.49,0.17,,,0.3,0.11,0.7,0.16
Oropharynx,1998,0.41,0.14,,,0.31,0.09,0.75,0.22
Oropharynx,1999,0.38,0.16,1.45,,0.31,0.11,0.87,0.15
Oropharynx,2000,0.47,,,,0.25,0.11,0.79,0.16
Oropharynx,2001,0.6,0.21,,,0.28,0.11,0.74,0.2
Oropharynx,2002,0.32,0.14,,,0.3,0.1,0.7,0.17
Oropharynx,2003,0.4,,,,0.31,0.1,0.77,0.13
Oropharynx,2004,0.55,,1.64,,0.32,0.1,0.62,0.22
Oropharynx,2005,0.53,,,,0.29,0.12,0.71,0.12
Oropharynx,2006,0.48,0.2,1.57,,0.3,0.1,0.76,0.15
Oropharynx,2007,0.51,0.16,1.54,,0.32,0.12,0.66,0.17
Oropharynx,2008,0.66,0.21,,,0.32,0.11,0.64,0.19
Oropharynx,2009,0.55,0.13,1.47,,0.33,0.1,0.57,0.13
Oropharynx,2010,0.6,0.16,1.12,,0.35,0.12,0.57,0.15
Oropharynx,2011,0.66,0.15,,,0.35,0.12,0.74,0.22
Oropharynx,2012,0.72,0.24,1.2,,0.38,0.11,0.66,0.19
Oropharynx,2013,0.86,0.2,,,0.37,0.12,0.65,0.17
Oropharynx,2014,0.75,0.18,1.22,,0.43,0.12,0.66,0.18
Oropharynx,2015,0.8,0.2,,,0.44,0.15,0.61,0.19
Oropharynx,2016,0.7,0.22,,,0.44,0.13,0.56,0.14
Hypopharynx,1975,2.01,0.35,,,0.51,0.11,0.79,0.15
Hypopharynx,1976,2.14,0.53,3.67,,0.47,0.1,1.17,0.15
Hypopharynx,1977,1.91,0.58,3.6,,0.56,0.12,1.06,0.18
Hypopharynx,1978,1.9,0.57,4.53,,0.49,0.11,1.14,0.14
Hypopharynx,1979,2.02,0.53,3.91,,0.56,0.11,1.24,0.16
Hypopharynx,1980,1.79,0.49,4.28,,0.47,0.11,1.21,0.2
Hypopharynx,1981,2.04,0.55,3.58,,0.47,0.11,1.1,0.24
Hypopharynx,1982,2.05,0.62,6.0,,0.51,0.1,1.32,0.17
Hypopharynx,1983,1.96,0.37,4.6,,0.49,0.1,1.03,0.13
Hypopharynx,1984,2.26,0.66,5.54,,0.49,0.12,1.23,0.11
Hypopharynx,1985,1.99,0.66,3.93,,0.45,0.11,1.17,0.13
Hypopharynx,1986,2.24,0.45,5.05,,0.37,0.11,0.77,0.16
Hypopharynx,1987,1.89,0.46,4.89,,0.39,0.1,1.08,0.19
Hypopharynx,1988,1.78,0.4,4.89,,0.42,0.08,0.91,0.16
Hypopharynx,1989,2.03,0.56,4.19,,0.36,0.11,0.89,0.13
Hypopharynx,1990,1.89,0.37,3.76,,0.35,0.08,0.8,0.12
Hypopharynx,1991,1.89,0.64,3.97,,0.29,0.07,0.69,0.19
Hypopharynx,1992,1.7,0.41,3.98,,0.33,0.07,0.83,0.12
Hypopharynx,1993,1.77,0.45,4.39,,0.31,0.07,0.72,
Hypopharynx,1994,1.7,0.31,4.79,,0.26,0.07,0.6,0.12
Hypopharynx,1995,1.38,0.44,3.23,,0.26,0.06,0.52,0.13
Hypopharynx,1996,1.25,0.5,3.42,,0.26,0.06,0.58,
Hypopharynx,1997,1.87,0.27,2.19,,0.26,0.05,0.66,
Hypopharynx,1998,1.56,0.38,4.3,,0.23,0.07,0.42,0.11
Hypopharynx,1999,1.22,0.38,2.43,,0.22,0.06,0.44,0.11
Hypopharynx,2000,1.25,0.33,2.5,,0.2,0.04,0.51,0.07
Hypopharynx,2001,1.03,0.39,1.94,,0.19,0.05,0.34,0.09
Hypopharynx,2002,1.27,0.27,2.8,,0.18,0.04,0.32,
Hypopharynx,2003,1.25,0.15,2.06,,0.17,0.04,0.4,
Hypopharynx,2004,1.07,0.31,1.93,,0.2,0.04,0.48,
Hypopharynx,2005,1.12,0.22,3.55,,0.14,0.03,0.37,
